Date, Employee Code ,Employee Name,Company ,Department,Category ,Degination,Grade,Team,Shift, In Time ,Out Time , Duration ,Late By ,Early By ,Status ,Punch Records ,Overtime
2024-01-22,78,78,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,79,79,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,80,80,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,81,81,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,82,82,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,83,83,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,84,84,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,85,85,Default,Default,Default,,,,Sam,00:53,,00:00,00:00,00:00,Absent (No OutPunch),00:53:in(TD) ,00:00
2024-01-22,86,86,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,87,87,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,88,88,Default,Default,Default,,,,Sam,01:10,,00:00,00:00,00:00,Absent (No OutPunch),01:10:in(TD) ,00:00
2024-01-22,89,89,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,90,90,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,91,91,Default,Default,Default,,,,Sam,01:05,,00:00,00:00,00:00,Absent (No OutPunch),01:05:in(TD) ,00:00
2024-01-22,92,92,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,93,93,Default,Default,Default,,,,Sam,01:02,,00:00,00:00,00:00,Absent (No OutPunch),01:02:in(TD) ,00:00
2024-01-22,94,94,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,95,95,Default,Default,Default,,,,Sam,00:46,,00:00,00:00,00:00,Absent (No OutPunch),00:46:in(TD) ,00:00
2024-01-22,96,96,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,97,97,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,98,98,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,99,99,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,100,100,Default,Default,Default,,,,Sam,00:30,,00:00,00:00,00:00,Absent (No OutPunch),00:30:in(TD) ,00:00
2024-01-22,101,101,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,102,102,Default,Default,Default,,,,Sam,00:46,,00:00,00:00,00:00,Absent (No OutPunch),00:46:in(TD) ,00:00
2024-01-22,103,103,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,104,104,Default,Default,Default,,,,Sam,00:30,,00:00,00:00,00:00,Absent (No OutPunch),00:30:in(TD) ,00:00
2024-01-22,105,105,Default,Default,Default,,,,Sam,00:50,,00:00,00:00,00:00,Absent (No OutPunch),00:50:in(TD) ,00:00
2024-01-22,106,106,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,107,107,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,108,108,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,109,109,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,110,110,Default,Default,Default,,,,Sam,01:05,,00:00,00:00,00:00,Absent (No OutPunch),01:05:in(TD) ,00:00
2024-01-22,111,111,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,112,112,Default,Default,Default,,,,Sam,00:56,,00:00,00:00,00:00,Absent (No OutPunch),00:56:in(TD) ,00:00
2024-01-22,113,113,Default,Default,Default,,,,Sam,00:53,,00:00,00:00,00:00,Absent (No OutPunch),00:53:in(TD) ,00:00
2024-01-22,114,114,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,115,115,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,116,116,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,117,117,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,118,118,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,119,119,Default,Default,Default,,,,Sam,00:53,,00:00,00:00,00:00,Absent (No OutPunch),00:53:in(TD) ,00:00
2024-01-22,120,120,Default,Default,Default,,,,Sam,01:10,,00:00,00:00,00:00,Absent (No OutPunch),01:10:in(TD) ,00:00
2024-01-22,121,121,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,122,122,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,123,123,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,124,124,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,125,125,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,126,126,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,127,127,Default,Default,Default,,,,Sam,01:03,,00:00,00:00,00:00,Absent (No OutPunch),01:03:in(TD) ,00:00
2024-01-22,999,999,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,T1,Test Employee 1,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,T2,Test Employee 2,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,T3,Test Employee 3,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
